2Z,PLU,RAO,AT7,Aerospatiale/Alenia ATR 72
2Z,PMW,AUX,AT7,Aerospatiale/Alenia ATR 72
2Z,PMW,GYN,AT7,Aerospatiale/Alenia ATR 72
2Z,RAO,BSB,AT7,Aerospatiale/Alenia ATR 72
2Z,RAO,GIG,AT7,Aerospatiale/Alenia ATR 72
2Z,RAO,GRU,AT7,Aerospatiale/Alenia ATR 72
2Z,RAO,GYN,AT7,Aerospatiale/Alenia ATR 72
2Z,RAO,PLU,AT7,Aerospatiale/Alenia ATR 72
2Z,RAO,SJP,AT7,Aerospatiale/Alenia ATR 72
2Z,RAO,UDI,AT7,Aerospatiale/Alenia ATR 72
2Z,SJP,RAO,AT7,Aerospatiale/Alenia ATR 72
2Z,SSA,BRA,AT7,Aerospatiale/Alenia ATR 72
2Z,SSA,VDC,AT7,Aerospatiale/Alenia ATR 72
2Z,UBA,GRU,AT7,Aerospatiale/Alenia ATR 72
2Z,UBA,UDI,AT7,Aerospatiale/Alenia ATR 72
2Z,UDI,GRU,AT7,Aerospatiale/Alenia ATR 72
2Z,UDI,GYN,AT7,Aerospatiale/Alenia ATR 72
2Z,UDI,RAO,AT7,Aerospatiale/Alenia ATR 72
2Z,UDI,UBA,AT7,Aerospatiale/Alenia ATR 72
2Z,VDC,GRU,AT7,Aerospatiale/Alenia ATR 72
2Z,VDC,SSA,AT7,Aerospatiale/Alenia ATR 72
3E,BRL,ORD,CNC,Unknown (CNC)
3E,BRL,STL,CNC,Unknown (CNC)
3E,DEC,ORD,CNC,Unknown (CNC)
3E,DEC,STL,CNC,Unknown (CNC)
3E,JBR,STL,CNC,Unknown (CNC)
3E,ORD,BRL,CNC,Unknown (CNC)
3E,ORD,DEC,CNC,Unknown (CNC)
3E,STL,BRL,CNC,Unknown (CNC)
3E,STL,DEC,CNC,Unknown (CNC)
3E,STL,JBR,CNC,Unknown (CNC)
3F,CGA,HYL,DHP,De Havilland Canada DHC-2 Beaver
3F,CGA,KTN,DHP,De Havilland Canada DHC-2 Beaver
3F,HYL,CGA,DHP,De Havilland Canada DHC-2 Beaver
